"title","Fund Owners","description","marketing_content","marketing_content_expiration","allocation_code","suggested_amount","featured_fund","active","campus","keywords","interest"
"Write-in Fund","","There are lots of giving opportunities and sometimes it’s difficult to locate the exact fund you’re looking for. If you’d like, you can follow the steps below to write in the fund you intend your gift to go to, and our internal processing team will work to direct your gift to the most appropriate fund.

Select or enter the amount you wish to give, and whether or not this gift is in memory or in honor of someone.
Use the Comments box to write in the fund name, description, allocation number (if you know it), and any other details that will help us direct your gift to the appropriate fund.
Add the gift to your Gift Basket and continue browsing, or click “Give Now” to complete your donation.

","","","","","","","","",""
"CU Anschutz Alumni License Plate Fund","","To fund scholarships for students at the Anschutz Medical Campus.



Obtaining a CU license plate in the state of Colorado is a three step process.
Step 1: Make a scholarship donation to the Alumni Association of at least $50.
Step 2: You will receive the State of Colorado certification (separate from the gift confirmation email) within 1 business day. Print this email or show it to the clerk at the DMV.
Step 3: Pay the required DMV fee for obtaining specialty plates (currently $50).



","","","0221871","","","1","CU Anschutz","Alumni Association","Scholarships & Student Success"
"CU Denver Alumni License Plate Program","","To provide support for scholarships at the University of Colorado Denver through the purchase of a license plate.



Obtaining a CU license plate in the state of Colorado is a three step process.
Step 1: Make a scholarship donation to CU Denver Alumni of at least $50.
Step 2: You will receive the State of Colorado certification (separate from the gift confirmation email) within 1 business day. Print this email or show it to the clerk at the DMV.
Step 3: Pay the required DMV fee for obtaining specialty plates (currently $50).



","","","0321445","","","1","CU Denver","Alumni Association","Alumni Programs"
"CU Scholarship License Plate Fund","","Obtaining a CU license plate in the state of Colorado is a three step process.
Step 1: Make a scholarship donation to the Alumni Association of at least $50.
Step 2: You will receive the State of Colorado certification (separate from the gift confirmation email) within 1 business day. Print this email or show it to the clerk at the DMV.
Step 3: Pay the required DMV fee for obtaining specialty plates (currently $50).
","","","0122509","","","1","CU Boulder","Alumni Association","Alumni Programs"
"UCCS Faculty and Alumni Scholarship Fund","diane.dickerson@uccs.edu","To provide scholarship awards at the University of Colorado Colorado Springs for undergraduates who meet the same need-based selection criteria as the Bridge Forward Scholarship.
","#myBtn1, #myBtn2 {
    background-color: #fff;
    width: 80%;
    text-align:center;
    border: 0px;
    padding: 5px;
}
.text-btn {
    color: #4b92db;
}

div.sig-col {
    font-size:14px;
}

/* The Modal (background) */
@media only screen and (min-width: 700px) {
    .modal {
      display: none; /* Hidden by default */
      position: fixed; /* Stay in place */
      z-index: 1000; /* Sit on top */
      padding-top: 100px; /* Location of the box */
      left: 0;
      top: 0;
      width: 100%; /* Full width */
      height: 100%; /* Full height */
      overflow: auto; /* Enable scroll if needed */
      background-color: rgb(0,0,0); /* Fallback color */
      background-color: rgba(0,0,0,0.4); /* Black w/ opacity */
    }

    /* Modal Content */
    .modal-content {
      background-color: #fefefe;
      margin: auto;
      padding: 20px;
      border: 1px solid #888;
      width: 80%;
    }

    /* The Close Button */
    .close {
      color: #000000;
      float: right;
      font-size: 28px;
      font-weight: bold;
    }

    .close:hover,
    .close:focus {
      color: #aaa;
      text-decoration: none;
      cursor: pointer;
    }
    
    .slide-mob {
        display:none;
    }
    
    div.sig-col {
        width: 50%;
        display:inline-block;
        float:left;
        padding:5px;
    }

    p.give-anchor {
        display:none;
    }
}

@media only screen and (max-width: 850px) {
    p.give-anchor {
        display:block;
    }
    
    p.give-noanchor {
        display:none;
    }
}
   
@media only screen and (max-width: 700px) {
    .modal {
      display: none; /* Hidden by default */
      position: fixed; /* Stay in place */
      z-index: 1000; /* Sit on top */
      padding-top: 50px; /* Location of the box */
      left: 0;
      top: 0;
      width: 100%; /* Full width */
      height: 100%; /* Full height */
      overflow: auto; /* Enable scroll if needed */
      background-color: rgb(0,0,0); /* Fallback color */
      background-color: rgba(0,0,0,0.4); /* Black w/ opacity */
    }

    /* Modal Content */
    .modal-content {
      background-color: #fefefe;
      margin: auto;
      padding: 0px;
      border: 1px solid #888;
      width: 100%;
    }

    /* The Close Button */
    .close {
      color: #000000;
      font-size: 28px;
      line-height: 28px;
      font-weight: bold;
      position:fixed;
      right: 10px;
      top: 60px;
      background-color:rgba(0,0,0,.4);
      padding:0px 7px;
    }

    .close:hover,
    .close:focus {
      color: #aaa;
      text-decoration: none;
      cursor: pointer;
    }
    .mySlides {
        width:100%;
        height:auto;
        padding: 0px 0px 0px 10px;
    }

    .slide-desk {
        display:none;
    }
    
    div.sig-col {
        width: 100%;
        display:block;
        float:left;
    }
    
}
Several current and past UCCS faculty have worked together to create this fund in support of UCCS students who work to help pay their way through school.
Contribute today, and your gifts will be matched dollar-for-dollar through a pool of $100,000 matching dollars.
Contribute today, and your gifts will be matched dollar-for-dollar through a pool of $100,000 matching dollars.
Scroll down to start your gift.
Faculty supporters shared:
""As your former faculty, we know most of you worked when we had you in class. In UCCS history, there has never been a time when there are so few student jobs available in our community. Our working students face a very difficult time. UCCS, unlike some other universities, is not cutting scholarships. However, hundreds of our students report they have lost their community jobs, many of which were in business sectors hit hardest including restaurants, retail and the tourism industry.
As long-standing faculty members, we ask you join us now in supporting scholarships for these deserving students so they can return and attend UCCS in Fall 2020. No gift is too small. This is our time to build a special legacy for the future.""

Dr. Peg Bacon
Jacqueline R. Berning, PhD, RD, CSSD
R. (Dan) Dandapani, Ph.D.
Jeffery M. Ferguson, Ph.D.
Andrea Herrera
Sylvia L. Mendez, PhD
Sara Honn Qualls, Ph.D., ABPP
Joan Klingel Ray, PhD
Allen M. Schoffstall
Terry Schwartz, Ph.D.
Pam Shockley-Zalabak
Constance Staley
Dr. Barbara Swaby

 

Click to learn more about each of our faculty participants.

×

function showpics(){var a=$(""#box"").val();$.getJSON(""http://api.flickr.com/services/feeds/photos_public.gne?tags=""+a+""&tagmode=any&format=json&jsoncallback=?"",function(a){$(""#images"").hide().html(a).fadeIn(""fast""),$.each(a.items,function(a,e){$("""").attr(""src"",e.media.m).appendTo(""#images"")})})}

            



// Get the modal
var modal = document.getElementById(""myModal"");

// Get the button that opens the modal
var btn1 = document.getElementById(""myBtn1"");
var btn2 = document.getElementById(""myBtn2"");

// Get the  element that closes the modal
var span = document.getElementsByClassName(""close"")[0];

// When the user clicks the button, open the modal 
btn1.onclick = function() {
  modal.style.display = ""block"";
}
btn2.onclick = function() {
  modal.style.display = ""block"";
}

// When the user clicks on  (x), close the modal
span.onclick = function() {
  modal.style.display = ""none"";
}

// When the user clicks anywhere outside of the modal, close it
window.onclick = function(event) {
  if (event.target == modal) {
    modal.style.display = ""none"";
  }
}
","","0421667","","1","1","UCCS","Office of Financial Aid and Student Employment","Scholarships & Student Success"
"CU Denver Employee Emergency Relief Fund","monica.cutler@ucdenver.edu","To provide support for staff and faculty at the University of Colorado Denver who are experiencing a financial emergency that could adversely affect them as they serve the campus and its students.
","","Friday, June 5, 2020","0322037","","1","1","CU Denver","Emergency Support","Community & Society"
"Staff and Faculty Emergency Fund","","To support staff and faculty at the University of Colorado Boulder who are experiencing a crisis that could adversely affect them as they serve the campus and our students.
","To support staff and faculty at the University of Colorado Boulder who are experiencing a crisis that could adversely affect them as they serve the campus and our students.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0126033","","1","1","CU Boulder","Campus Programs, Emergency Support","Community & Society"
"UCCS Community Support Scholarship Fund","","To support UCCS degree seeking students who have experienced a one-time unexpected financial hardship. Awards are given to support any resource needs associated with the cost of attendance.
","To support UCCS degree seeking students who have experienced a one-time unexpected financial hardship. Awards are given to support any resource needs associated with the cost of attendance.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0421665","","1","1","UCCS","Emergency Support","Scholarships & Student Success"
"Bridge Forward Scholarship Endowment","","To provide scholarship awards at the University of Colorado Colorado Springs for undergraduate students with an Expected Family Contribution up to 250% above Pell Grant eligibility or similar financial need program.
","Double your impact today!
Your commitment to hard-working students will inspire possibilities now and leave a mark well into the future. Thanks to a generous alumni donor, each gift will be matched dollar for dollar!
 
Gifts to this fund are made available for immediate use for Bridge Forward scholarship awards and are not invested as part of the endowment. Click here to make a gift to the endowment.
","","0430106","","1","1","UCCS","","Scholarships & Student Success"
"University of Colorado Denver COSI Scholarship Fund","","To provide scholarship funding for students enrolled at the University of Colorado Denver.
","","","0321935","","1","0","CU Denver","Colorado Opportunity Scholarship Initiative","Scholarships & Student Success"
